file,id,type,speaker,jp,current_english,suggested_english,notes,status
151_3_6_3.json,14,Dialog,,部室は、重苦しい雰囲気に包まれていた。,"The clubroom was enveloped in a
heavy atmosphere.",,,
151_3_6_3.json,16,Dialog,Renge,「まさか、まさかの結果発表ですわ……」,It's the unexpected results...,,,
151_3_6_3.json,21,Dialog,Renge,「絢爛ホスト部の勝利、つまり……、環さんは,The splendid Host Club's victory...,,,
151_3_6_3.json,22,Dialog,Renge,レオさんのものに……！」,means you belong to Leo-sama...!,,,
151_3_6_3.json,27,Dialog,Sayuri,「桜蘭ホスト部が……」,Our Ouran Host Club...,,,
151_3_6_3.json,41,Dialog,Leo,「環、ボクたちの勝ちだよ」,"Tamaki, we won!",,,
151_3_6_3.json,46,Dialog,Tamaki,「無念だ……」,It's a shame...,,,
151_3_6_3.json,47,Dialog,Tamaki,ホスト部が負けてしまった。ということはつま,The Host Club lost...,,,
151_3_6_3.json,48,Dialog,Tamaki,り……。,Which means...,,,
151_3_6_3.json,53,Dialog,Leo,「ボクはうれしいよ。これから一緒に、絢爛ホ,"I'm happy. Let's work together to
make the",,,
151_3_6_3.json,54,Dialog,Leo,スト部を盛り上げていこうね」,"Extravagant Host Club even more
popular.",,,
151_3_6_3.json,59,Dialog,Tamaki,「待て！　ハルヒも、なんとか言ってくれ！」,"Wait! Haruhi, say something!",,,
151_3_6_3.json,61,Dialog,Haruhi,「……ごめんなさい」,...I am sorry.,,,
151_3_6_3.json,83,Dialog,Renge,「さあ、今ここに始まりました、世紀の対戦！,"And so, here we begin, the battle of
the century!",,,
151_3_6_3.json,84,Dialog,Renge,我が桜蘭ホスト部ＶＳ絢爛ホスト部。実況は、,"Our Ouran Host Club VS the Splendor
Host Club. Commentary",,,
151_3_6_3.json,85,Dialog,Renge,宝積寺れんげが務めさせていただきますわ」,"will be provided by Renge
Houshakuji.",,,
151_3_6_3.json,86,Dialog,Renge,れんげちゃんが実況役なのはいいんだけど――。,"I don't mind Renge being the
commentator--.",,,
151_3_6_3.json,88,Dialog,Sayuri,「ア、アシスタントの……、姫宮小百合です」,A-Assistant... Sayuri Himemiya.,,,
151_3_6_3.json,89,Dialog,Sayuri,どうして小百合まで……。あの困っている様子,"Why Sayuri too... Seeing her
flustered like that,",,,
151_3_6_3.json,90,Dialog,Sayuri,を見ると、いきなりお願いされたんだろうなあ。,"she must have been asked to do it
suddenly.",,,
151_3_6_3.json,95,Dialog,Renge,「待ちに待った因縁の対決ですが、今回の勝負,"Long-awaited grudge match, but what
do you",,,
151_3_6_3.json,96,Dialog,Renge,をどう思いますか、姫宮さん？」,"think of this contest, Miss
Himemiya?",,,
151_3_6_3.json,102,Dialog,Sayuri,「あの、宝積寺さん……。私には、『因縁』と,"Um, Houjyuji-san... I don't really",,,
151_3_6_3.json,103,Dialog,Sayuri,かよくわからないんだけど……」,get what 'destiny' means...,,,
151_3_6_3.json,109,Dialog,Renge,「姫宮さん！　そういうことは脳内で補完して,Ms. Himemiya! You have to fill,,,
151_3_6_3.json,110,Dialog,Renge,いただかなくては困りますわ」,in the blanks in your head!,,,
151_3_6_3.json,116,Dialog,Sayuri,「は……、はい？」,H-Hi?,,,
151_3_6_3.json,124,Dialog,Renge,「第１試合は、『ネコ探し』です！　それでは、,"The first game is 'Find the Cat'!
Now then,",,,
151_3_6_3.json,125,Dialog,Renge,参加する選手の紹介ですわ」,let me introduce the participants!,,,
151_3_6_3.json,130,Dialog,Renge,「桜蘭ホスト部からは、環さん、鏡夜様の登場,Ladies and gentlemen! From the Ouran,,,
151_3_6_3.json,131,Dialog,Renge,です！」,"Host Club, Tamaki and Kyoya!",,,
151_3_6_3.json,144,Dialog,,きゃ〜〜〜！,Kyaa!!!,,,
151_3_6_3.json,159,Dialog,Sayuri,「絢爛学園からは、レオさんと、その他,"From the Extravagant Academy,",,,
151_3_6_3.json,160,Dialog,Sayuri,２名……？」,Leo-san and two others...?,,,
151_3_6_3.json,161,Dialog,Sayuri,その他２名？　『その他』ってなんだろう？,"Two others? What does ""others"" mean?",,,
151_3_6_3.json,170,Dialog,Kyoya,「あの２人は、絢爛学園探偵部の部長と副部長,"They're the president and
vice-president of",,,
