file,id,type,speaker,jp,current_english,suggested_english,notes,status
101_1_1.json,2,Chapter name,,プロローグ,Prologue,,,
101_1_1.json,20,Dialog,,プロローグをスキップしますか？,Skip the prologue?,,,
101_1_1.json,21,Choice,,はい,Yes,,,
101_1_1.json,22,Choice,,いいえ,No,,,
101_1_1.json,30,Dialog,,――さて、と。,"--Well, then.",,,
101_1_1.json,39,Chapter name,,プロローグ,Prologue,,,
101_1_1.json,41,Dialog,,　　　　　　この私立桜蘭学院は,"This private school,
Ouran Academy,",,,
101_1_1.json,43,Dialog,,　　　　　　一に家柄、二にお金,"values pedigree first
and money second.",,,
101_1_1.json,45,Dialog,,　　　　　そのどちらも兼ね備えた,For the sons and daughters,,,
101_1_1.json,47,Dialog,,　　　 資産家の子息、息女たちの集う,"of wealthy families
blessed with both,",,,
101_1_1.json,49,Dialog,,　　　　　　超金持ち学校である,"it is a school for
the ultra-rich.",,,
101_1_1.json,51,Dialog,,　　　　 その学院の南校舎、最上階,"South wing, top floor,",,,
101_1_1.json,53,Dialog,,　　　　　　北側廊下つきあたり,"at the end of the
north hallway--",,,
101_1_1.json,55,Dialog,,　　　　　　未使用無人の音楽室,"an unused, empty
music room.",,,
101_1_1.json,57,Dialog,,　　　　　扉を開けるとそこは――,"Open the door,
and there--",,,
101_1_1.json,61,Dialog,Everyone,「いらっしゃいませ」,Welcome!,,,
101_1_1.json,63,Dialog,Everyone,そこは、ホスト部でした。,It was the Host Club.,,,
101_1_1.json,67,Dialog,Everyone,桜の咲き誇る季節も終わって、今度は新緑の季,"The season of cherry blossoms had
ended, and",,,
101_1_1.json,68,Dialog,,節へと様変わりし始めた春の頃。,"spring was giving way to fresh green
leaves.",,,
101_1_1.json,70,Dialog,,今日もホスト部は、たくさんのお客さんで賑,The Host Club is packed,,,
101_1_1.json,71,Dialog,,（にぎ）わっている。,with guests again today.,,,
101_1_1.json,72,Dialog,,ここに出入りしている人たちは、由緒正しきお,"The people who frequent this place
are all",,,
101_1_1.json,73,Dialog,,嬢様方。,"proper young ladies from good
families.",,,
101_1_1.json,74,Dialog,,そのお嬢様――、お客さんたちをもてなし、う,"And entertaining those young
ladies--keeping them happy--is",,,
101_1_1.json,75,Dialog,,るおわすのが、桜蘭高校ホスト部の部員たち。,"the job of the Ouran High School
Host Club.",,,
101_1_1.json,76,Dialog,,テーブルのところでお客さんの相手をしている,"The one charming guests at that
table",,,
101_1_1.json,77,Dialog,,人が、桜蘭高校でホスト部を立ち上げた、２年,"is Tamaki Suoh, the second-year who",,,
101_1_1.json,78,Dialog,,の須王環（すおうたまき）先輩。,founded the Host Club here at Ouran.,,,
101_1_1.json,79,Dialog,,ホスト部へ来るお客さんの７割は、環先輩が目,"Apparently seven out of ten guests
come",,,
101_1_1.json,80,Dialog,,当てらしい。,to this club just for Tamaki-senpai.,,,
101_1_1.json,90,Dialog,Tamaki,「ああ、姫のいつもと変わらぬ美しさに、,"Ah, princess... Your beauty never
changes,",,,
101_1_1.json,91,Dialog,Tamaki,僕の心はいつも熱く、激しく揺さぶられて,"and yet it never fails to set my
heart",,,
101_1_1.json,92,Dialog,Tamaki,います……」,ablaze and shake me to my core...,,,
101_1_1.json,94,Dialog,Tamaki,いつもこんな感じで接客をしている。,"That's how he entertains his guests.
Always.",,,
101_1_1.json,96,Dialog,Tamaki,あそこでにこやかにお客さんを案内している人,"The one over there graciously
showing guests to their",,,
101_1_1.json,97,Dialog,,が、２年の鳳鏡夜（おおとりきょうや）先輩。,"seats is Kyoya Ootori, another
second-year.",,,
101_1_1.json,105,Dialog,Kyoya,「いらっしゃいませ」,Welcome.,,,
101_1_1.json,106,Dialog,Kyoya,経営というか運営の部分で、ホスト部を取り仕,He runs the Host Club--the business,,,
101_1_1.json,107,Dialog,Kyoya,切っている。,"side of things, you could say.",,,
101_1_1.json,110,Dialog,Kyoya,向こうにいる見た目がそっくりな２人。自分と,"Those two over there who look
exactly",,,
101_1_1.json,111,Dialog,Kyoya,同じ学年でクラスメイトの常陸院光（ひたちい,"alike are Hikaru and Kaoru
Hitachiin.",,,
101_1_1.json,112,Dialog,,んひかる）と常陸院馨（ひたちいんかおる）。,"They're first-years, in my class.",,,
101_1_1.json,124,Dialog,Hikaru,「馨ってば、僕と一緒のベッドじゃないって聞,"Kaoru, when I heard you wouldn't be",,,
101_1_1.json,125,Dialog,Hikaru,いたらさー」,sharing a bed with me anymore...,,,
101_1_1.json,135,Dialog,Kaoru,「ひどいよ光……。それは誰にも言わないでっ,"Hikaru, that's awful... You promised",,,
101_1_1.json,136,Dialog,Kaoru,て……」,not to tell anyone...,,,
101_1_1.json,137,Dialog,Kaoru,自分には理解できないけど、兄弟愛っていう設,"I don't really get it myself, but
that ""brotherly",,,
101_1_1.json,138,Dialog,Kaoru,定がうけているらしい……。,"love"" act of theirs is a big hit...",,,
101_1_1.json,140,Dialog,Kaoru,そうそう。２人は、髪型で区別しないとわから,"Oh, right. A lot of people say they
can't tell",,,
101_1_1.json,141,Dialog,Kaoru,ないって言う人が多い。,"those two apart without checking
their hair.",,,
101_1_1.json,142,Dialog,,髪を右分けにしているほうが光で――。,"The one whose hair parts to the
right is Hikaru--",,,
101_1_1.json,143,Dialog,,――左分けにしているほうが馨。,"--and the one whose hair parts to
the left is Kaoru.",,,
