file,id,type,speaker,jp,current_english,suggested_english,notes,status
takashi.json,1,Chapter name,,モリ先輩と熱烈なファン,Mori-senpai and His Fans,,,
takashi.json,4,Dialog,Honey,「崇、彼女たちにちゃんとああなった理由を説明すればわかってくれるよ？」,"Takashi, if you explain to them why
you did it, they'll understand,
right?",,,
takashi.json,6,Dialog,Mori,「いや……」,No...,,,
takashi.json,8,Dialog,Honey,「もう〜僕も一緒についていってあげるから、ね？　うさちゃんも貸してあげる♪」,"Come on~ I'll come with you too,
okay? And I'll lend you my bunny,
too!♪",,,
takashi.json,10,Dialog,Mori,「ああ……」,Oh...,,,
takashi.json,11,Dialog,Mori,いつものように、南校舎の最上階、北川廊下つきあたりの未使用音楽室の扉をあける。,"As usual, I open the unused music
room's door, at the end of Kitagawa
Hall, top floor south building.",,,
takashi.json,12,Dialog,Mori,そこには……うさぎのぬいぐるみを抱いたモリ先輩という、あまりにシュール過ぎる光景に出くわしてしまった。,"There... I ran into a surreal scene
of Mori-senpai holding a rabbit
stuffed animal.",,,
takashi.json,13,Dialog,Mori,思わず回れ右をしてしまいたい光景だけど、モリ先輩の眉間のしわがいつもより多い（ような）気がする。,"It's a sight that makes me want to
turn right around -- Mori-senpai's
frown seems deeper than usual.",,,
takashi.json,15,Dialog,Haruhi,「あの……どうかしたんですか？」,Is something wrong?,,,
takashi.json,23,Dialog,Honey,「あ、ハルちゃん。あのねえ、崇がすっごい失敗しちゃってね、僕がなぐさめてあげてたんだ」,"Oh, Haru-chan. Well, Takashi made a
huge mistake, and I was comforting
him.",,,
takashi.json,25,Dialog,Haruhi,「モリ先輩が失敗……ですか？　珍しいですね」,"Takashi-senpai failed...? That's
rare.",,,
takashi.json,27,Dialog,Haruhi,実直な人柄で、現代に生きる武士のような存在でもあるモリ先輩のホスト部での立場は、どっしりと構えた重石といったもので。,"Honest and steady, like a modern-day
samurai, Mori-senpai's role in the
Host Club is that of a solid anchor.",,,
takashi.json,28,Dialog,Haruhi,何を考えているのかわからない無口な人柄のせいか、失敗談はあまり聞かない。,"I don't hear many of his failure
stories because he's a quiet guy
whose thoughts are hard to read.",,,
takashi.json,29,Dialog,Haruhi,そのモリ先輩がうさぎのぬいぐるみを抱えてまで落ち込むほどの事態……かあ。,"That's bad enough for Mori-senpai to
be depressed while hugging a rabbit
doll... huh.",,,
takashi.json,30,Dialog,Haruhi,環先輩なら放っておいても害はないんだけど、モリ先輩だしね。,"Tamaki-senpai would probably cause
no harm if left alone, but it's
Mori-senpai.",,,
