file,id,type,speaker,jp,current_english,suggested_english,notes,status
kaoru.json,1,Chapter name,,双子のサービスデー,Twin service day,,,
kaoru.json,4,Dialog,Haruhi,「失礼しまーす」,Excuse me--,,,
kaoru.json,5,Dialog,Haruhi,いつものようにホスト部部室に顔を出す。,"Show up at the Host Club room as
usual.",,,
kaoru.json,6,Dialog,Haruhi,借金返済完了までの長い道のりを、お客様支持率を上げて完済すれば良いだろう？,"Isn't it just a long road to paying
off my debts if I raise customer
support?",,,
kaoru.json,7,Dialog,Haruhi,みたいなことを鏡夜先輩に言われて現在もホスト部で接客に励んでいる。,"Something like that. Kyoya-senpai
told me, and now I'm still working
hard at the Host Club.",,,
kaoru.json,8,Dialog,Haruhi,自分としては普通に働いて返していけばいいかなあとは思うんだけど、このホスト部特有の空気に慣れちゃったせいか……。,"I thought I could just work
and pay it back, but maybe
I've gotten used to this club...",,,
kaoru.json,10,Dialog,Haruhi,（ここにいるのが楽しい、なんて絶対末期だよね）,"(If I'm having fun here, then it
must be the end...) Well,",,,
kaoru.json,11,Dialog,Haruhi,まあ、そんなわけで今日も今日とて部室に来たんだけど……。,"anyway, that's why I came to the
clubroom today too...",,,
kaoru.json,13,Dialog,Haruhi,「あれ？　光と馨だけ？」,Hikaru and Kaoru only?,,,
kaoru.json,14,Dialog,Haruhi,いつもだったら必要以上に歯の浮くセリフで接客をしている環先輩や、営業にいそしむ鏡夜先輩。,"Usually Tamaki-senpai serves
with flowery lines, while
Kyoya-senpai focuses on sales.",,,
kaoru.json,15,Dialog,Haruhi,それに甘い匂いが漂ってくるハニー先輩もそれに付き従うようなモリ先輩も見当たらない。,"I don't see Honey-senpai or
Mori-senpai either.",,,
kaoru.json,22,Dialog,Hikaru,「殿も鏡夜先輩もハニー先輩もモリ先輩もみーんな用事があってこれないってさ」,"Lord Tama-chan, Otori-senpai,
Honey-senpai, and Mori-senpai are
all busy and can't come.",,,
kaoru.json,24,Dialog,Haruhi,「用事？」,What business?,,,
kaoru.json,32,Dialog,Kaoru,「殿と鏡夜先輩は家の用事。ハニー先輩はチカの試合を見に行ってるし、モリ先輩はそれの付き添いでいないわけ」,"Tamaki and Kyouya have
family business. Honey
and Mori are away.",,,
kaoru.json,34,Dialog,Haruhi,「じゃあ今日は自分と光、馨だけってこと？」,"So it's just me, Hikaru, and Kaoru
today?",,,
kaoru.json,36,Dialog,Hikaru,「まあそうなるね」,"Well, that's to be expected.",,,
kaoru.json,38,Dialog,Hikaru,「殿もさー、人手がないんだから臨時休業すれば良いのに、ホスト部を求めてる女性がいるのならば！　とか言っちゃってさ」,"With so few people, Tamaki should
just close temporarily, but he says
ladies still need the Host Club.",,,
kaoru.json,40,Dialog,Haruhi,「あれでも部長だからね」,That's because you're the president.,,,
kaoru.json,42,Dialog,Kaoru,「鏡夜先輩にも言ってみたんだけど、殿が言うのならば実施しろみたいな感じでさ」,"I told Kyoya-senpai too, but he said
something like 'If you say so, then
let's do it.'",,,
kaoru.json,50,Dialog,Hikaru & Kaoru,「あーめんどくさいよねえ」,"Aah, it's such a hassle.",,,
kaoru.json,52,Dialog,Haruhi,「そろそろお客様も来ると思うから、そうゆうセリフは思っていても口に出さないでよね」,"Since customers will be here soon,
don't say such things out loud,
okay?",,,
kaoru.json,53,Dialog,Haruhi,天上天下唯我独尊みたいな光と馨。その上ものすごく飽きっぽい２人だからやーめた、とか接客を放り出さないと良いんだけど……。,"Hikaru and Kaoru act like the world
revolves around them, and they get
bored fast too...",,,
kaoru.json,61,Dialog,Hikaru,「冗談だよ、じょーだん。ホスト部での仕事は真面目にやるよ」,"Just kidding, just kidding. I'll
take my work in the Host Club
seriously.",,,
kaoru.json,63,Dialog,Kaoru,「売りのシンメトリーな兄弟愛でちゃんとやり遂げるさ」,"Let's pull off this act of
symmetrical brotherly love.",,,
kaoru.json,71,Dialog,Hikaru & Kaoru,「ねー」,No way.,,,
kaoru.json,79,Dialog,Kaoru,「でもいいの、光？」,"「But it's okay with you, Hikaru?」",,,
kaoru.json,81,Dialog,Hikaru,「なにが？」,What?,,,
kaoru.json,83,Dialog,Kaoru,「ハルヒが来る前はあんまり乗り気じゃなかったじゃん」,"You weren't really into it before
Haruhi came.",,,
kaoru.json,85,Dialog,Hikaru,「まあね〜。ほら、僕らだけでも出来るって証明するのも楽しいかなって思ってさ」,"Well, yeah. I thought it might be
fun to prove we can do this on our
own.",,,
