file,id,type,speaker,jp,current_english,suggested_english,notes,status
hikaru.json,1,Chapter name,,光の悩み相談,Hikaru's Advice Corner,,,
hikaru.json,10,Dialog,Tamaki,「諸君！　麗しき乙女たちが心を震わすための新企画として、黒魔術部共同の下【予言の館】を開催しようと思う！」,"Everyone! New plan to flutter
maidens' hearts: 'Fortune Manor,'
with the Black Magic Club!",,,
hikaru.json,11,Dialog,Tamaki,いつものようにホスト部に顔を出すと、バックに花が散っている環先輩と。,"As usual, I show up at the Host Club
to find Tamaki-senpai backed by
scattered flowers.",,,
hikaru.json,19,Dialog,Nekozawa,「よろしくお願いします〜」,Nice to meet you~,,,
hikaru.json,20,Dialog,Nekozawa,黒いマントをはおった猫澤先輩がいた。,"There was Nekozawa-senpai, wearing
his black cloak.",,,
hikaru.json,22,Dialog,Haruhi,「はあ……予言の館ですか」,Hmm... The House of Prophecy?,,,
hikaru.json,30,Dialog,Tamaki,「うむ。乙女はいつ何時でも占いに心をときめかせてしまうものだ。特に恋愛相談など乙女のためにあるものと言って良い！」,"Mm. A maiden's heart always flutters
at fortune-telling -- especially
love advice, made just for her!",,,
hikaru.json,32,Dialog,Haruhi,「つまり……恋愛相談を主に扱うってことですね」,"So... you mainly deal with love
advice.",,,
hikaru.json,34,Dialog,Tamaki,「うむ、そうなるな」,"Indeed, that's how it will be.",,,
hikaru.json,41,Dialog,Hikaru,「ふーん。でもさあ、よく殿が猫澤先輩と組もうって考えたよね」,"Hmm. But really, I can't believe you
thought to team up with
Nekozawa-senpai.",,,
hikaru.json,48,Dialog,Kaoru,「そうそう。猫澤先輩に関わると呪われる〜とか言ってハルヒに泣きついてたのって殿じゃん」,"Right, right. You were the one
crying to Haruhi about getting
cursed by Nekozawa-senpai.",,,
hikaru.json,54,Dialog,Tamaki,「ぬう。た、確かに猫澤先輩はちょっとばかり変わっておられるが、我が部に貢献したいと名乗り出てくださったのだぞ！」,"Nuu. T-That's true, Nekozawa-senpai
has changed a bit, but he offered to
contribute to our club!",,,
hikaru.json,62,Dialog,Hikaru & Kaoru,「それこそ怪しいじゃん。なんで貢献したいとか思ったわけ？」,"Why are you suddenly so eager to
help?",,,
hikaru.json,72,Dialog,Nekozawa,「それは簡単なことですよ〜」,That's easy~,,,
hikaru.json,74,Dialog,Nekozawa,「黒魔術部の素晴らしさを皆さんに知って頂く為にはオーソドックスに占いから入って頂こうと思いまして〜」,"To show you all how great the Black
Magic Club is, I figured we'd start
with some classic fortune-telling~",,,
hikaru.json,76,Dialog,Nekozawa,「ちょうど須王くんが新企画に何をなさろうか悩んでらっしゃったので、お口添えしたまでですよ〜」,"I just gave my input on what
Kurakano-kun should do for his new
project~",,,
hikaru.json,78,Dialog,Nekozawa,「実は他に理由があったりするのですが、それをお話するのは身を切られる思いでして〜」,"I actually have another reason, but
telling you would be like cutting
myself.",,,
hikaru.json,80,Dialog,Nekozawa,目深まで被ったマントからちらりと鏡夜先輩をいちべつした気がする。,"I think I caught a glimpse of
Kyoya-senpai from under his hood.",,,
hikaru.json,81,Dialog,Nekozawa,……気のせいじゃないと思うけど。,"I don't think it's just my
imagination.",,,
hikaru.json,88,Dialog,Kyoya,「ホスト部はイベントごとに服装をチェンジするなど、その時々にあった接客方法に変えてはいるが……」,"The Host Club changes its outfits
for each event and adjusts its
approach accordingly... but...",,,
hikaru.json,90,Dialog,Kyoya,「占いというのも１つのニーズだからな。叶うかどうかもわからない占いでも、それには占ってもらったという安心感」,"Fortune-telling fills a need. Even
an uncertain fortune brings comfort
just from being told.",,,
hikaru.json,92,Dialog,Kyoya,「言わば誰かに大丈夫だと言ってもらったという無意識の安堵がある」,"I feel an unconscious relief as if
someone told me it's okay.",,,
hikaru.json,97,Dialog,Kyoya,「仮に悪い結果であったとしてもそれに対するフォローがあるだろう？」,"Even if it's a bad result, there'll
be a follow-up, right?",,,
hikaru.json,102,Dialog,Kyoya,「能力いかんに関係なくそうゆうものを求めるお客様も存在するからな」,"There are customers who seek such
things regardless of ability.",,,
hikaru.json,104,Dialog,Kyoya,「なので、強制……いや手を組んで開催することに決定したのだよ」,"So I've decided to hold it by
force... no, make that with
everyone's cooperation.",,,
hikaru.json,107,Dialog,Haruhi,「長々としたご説明ありがとうございます」,Thanks for the long explanation.,,,
hikaru.json,108,Dialog,Haruhi,夢をずたずたと切り刻んでいく人だよ、鏡夜先輩は……。,"He's someone who cuts dreams to
shreds, Kyoya-senpai...",,,
hikaru.json,109,Dialog,Haruhi,お客様がいなくて良かった、本当に。,"I'm glad there aren't any customers.
Really.",,,
hikaru.json,117,Dialog,Honey,「ハルちゃん、ハルちゃん。みんなでね、このお洋服を着るんだよ」,"Haru-chan, Haru-chan. We're all
gonna wear these clothes!",,,
hikaru.json,119,Dialog,Honey,ハニー先輩が可愛らしく小首を傾げながら、猫澤先輩と寸分違わない服装を手にしている。,"Senior Honey tilts his cute little
head while holding clothes that
match Nekozawa-senpai exactly.",,,
hikaru.json,127,Dialog,Hikaru,「うげっ、ほんとうにそれ着なきゃいけないわけ？」,"Eww, do I really have to wear that?",,,
