file,id,type,speaker,jp,current_english,suggested_english,notes,status
113_3_3.json,4,Dialog,,レオさんたちが来てると思うと、部室に向かう,"Thinking about Rei and the others
being here makes",,,
113_3_3.json,5,Dialog,,足に重りがついたみたいになってくる。,"my steps toward the club room feel
weighed down.",,,
113_3_3.json,6,Dialog,,別に嫌ってるわけではないんだけど……。,I'm not really hating on you...,,,
113_3_3.json,8,Dialog,Haruhi,「……はあ」,... Haa,,,
113_3_3.json,10,Dialog,Haruhi,部室に入る。鍵は開いていたけど、ホスト部の,"Enter the clubroom. The door was
unlocked, but there wasn't",,,
113_3_3.json,11,Dialog,Haruhi,みんなもお客さんの姿もなかった。,"anyone from the Host Club or any
customers around.",,,
113_3_3.json,12,Dialog,Haruhi,…………何で？,Why not?,,,
113_3_3.json,30,Dialog,Leo,「……あの、ハルヒくん」,"「...Hey, Haruhi-kun」",,,
113_3_3.json,32,Dialog,Haruhi,「レオさん……？」,Leo-san...?,,,
113_3_3.json,33,Dialog,Haruhi,自分の後に部室に入ってきたレオさんは、申し,Leo-san entered behind me and looked,,,
113_3_3.json,34,Dialog,Haruhi,訳なさそうな表情でじっと自分を見ていた。,at me with an apologetic expression.,,,
113_3_3.json,35,Dialog,Haruhi,一緒にいる豪徳寺さんはいつも通り無愛想に立っ,Mori-kun was standing as usual with,,,
113_3_3.json,36,Dialog,Haruhi,ていたけど、なぜか王さんはうれしそうに微笑,"his aloof demeanor, but for some
reason,",,,
113_3_3.json,37,Dialog,Haruhi,んでいた。,Tama-chan was smiling happily.,,,
113_3_3.json,42,Dialog,Ou,「いやいや、これが『閑古鳥が鳴く』という状,"No, no, this seems to be the
situation",,,
113_3_3.json,43,Dialog,Ou,況のようですね」,where 'the birds of silence chirp.',,,
113_3_3.json,48,Dialog,Leo,「王、失礼だよ。そんな言い方は」,"「King, that's rude. Don't talk like
that.」",,,
113_3_3.json,53,Dialog,Ou,「くっくっくっ……、これは失言でしたね」,"Heh heh heh... That was a slip of
the tongue.",,,
113_3_3.json,63,Dialog,Ou,「さて、もう私たちがここにいる意味はありま,"Well, there's no point in us staying",,,
113_3_3.json,64,Dialog,Ou,せんね。行きますよ、レオ」,"here anymore. Let's go, Leo.",,,
113_3_3.json,69,Dialog,Leo,「でも……」,But...,,,
113_3_3.json,74,Dialog,Ou,「ご招待したお客様へのご挨拶はどうするんで,How will you greet our guests?,,,
113_3_3.json,75,Dialog,Ou,すか？　みなさん、お待ちになっていますよ」,They're waiting for you.,,,
113_3_3.json,80,Dialog,Leo,「……わかったよ。ごめんね、ハルヒくん。今,"...Got it. Sorry, Haruhi-kun.",,,
113_3_3.json,81,Dialog,Leo,日はこれで」,See you later.,,,
113_3_3.json,83,Dialog,Haruhi,「いえ、こちらこそ……」,"No, thank you...",,,
113_3_3.json,88,Dialog,Haruhi,レオさんたちがいなくなると、部室は自分だけ,"Without Reo and the others, the",,,
113_3_3.json,89,Dialog,Haruhi,になってしまった。,clubroom is mine alone now.,,,
113_3_3.json,90,Dialog,,もしかして、このまま誰も来ないのかな……。,Maybe nobody's coming after all...,,,
113_3_3.json,102,Dialog,,あれからしばらく待っているとドアが開いて、,"After waiting for a while, the door",,,
113_3_3.json,103,Dialog,,環先輩たちが入ってきた。,opened and Senpai-tachi came in.,,,
113_3_3.json,106,Dialog,Haruhi,「どこに行ってたんですか環先輩。鍵も開けた,"Where were you, Tamaki-senpai?",,,
113_3_3.json,107,Dialog,Haruhi,ままで」,The door was unlocked.,,,
113_3_3.json,116,Dialog,Tamaki,「……あ、うん。ちょっと……」,"...Ah, yeah. Just a sec...",,,
113_3_3.json,117,Dialog,Tamaki,言いにくそうに、環先輩は目をそらす。,"Squirming uncomfortably, Tama-chan
looks away.",,,
113_3_3.json,125,Dialog,Kyoya,「……しかし、見事にやられたな」,...But you got me.,,,
113_3_3.json,126,Dialog,Kyoya,がらんとした部室を見渡しながら、鏡夜先輩が,"Looking around the empty clubroom,",,,
113_3_3.json,127,Dialog,Kyoya,感心したようにつぶやく。,Kyoya-senpai mutters in admiration.,,,
113_3_3.json,132,Dialog,Kyoya,「お客様は、すべて【持っていかれた】という,You've lost,,,
113_3_3.json,133,Dialog,Kyoya,わけだな」,everything.,,,
113_3_3.json,134,Dialog,Kyoya,絢爛ホスト部に招待すること自体は悪いことじゃ,Inviting them to our club might,,,
113_3_3.json,135,Dialog,Kyoya,ないかもしれないけど、ここまでくるとやりす,"not be bad in itself,",,,
113_3_3.json,136,Dialog,Kyoya,ぎとしか思えない。,but this is just overkill.,,,
113_3_3.json,138,Dialog,Haruhi,「……あれ？　光と馨がいないですけど……。,"...Hm? Hikaru and Kaoru aren't
here...",,,
113_3_3.json,139,Dialog,Haruhi,それに、ハニー先輩も」,And Honey-senpai too.,,,
113_3_3.json,147,Dialog,Kyoya,「光と馨、ハニー先輩は『さぼり』だ。連絡を,"Hikaru and Kaoru, Honey-senpai is
'skipping class.'",,,
113_3_3.json,148,Dialog,Kyoya,受けているから心配する必要はない」,"We've been informed, so there's no
need to worry.",,,
113_3_3.json,149,Dialog,Kyoya,……それって、『さぼり』じゃないと思います,I don't think that's,,,
113_3_3.json,150,Dialog,Kyoya,けど。,called slacking off.,,,
113_3_3.json,158,Dialog,Tamaki,「しかたない、今日は休みにしよう。……申し,Guess I'll skip today... Sorry,,,
113_3_3.json,159,Dialog,Tamaki,訳ありません、モリ先輩」,"about that, Mori-senpai.",,,
113_3_3.json,167,Dialog,Mori,「…………いや」,...No.,,,
113_3_3.json,169,Dialog,Mori,いつもと変わらない様子でつぶやくと、モリ先,"Mori-senpai quietly left the
clubroom",,,
113_3_3.json,170,Dialog,Mori,輩は静かに部室を出て行った。,without saying a word.,,,
113_3_3.json,177,Dialog,Tamaki,「心配は無用だぞ、ハルヒ。明日になればいつ,"Don't worry, Haruhi. I'll be",,,
113_3_3.json,178,Dialog,Tamaki,も通りに戻る」,back to normal tomorrow.,,,
113_3_3.json,186,Dialog,Kyoya,「環……、おまえは楽観的すぎる」,Tamaki... you're too optimistic.,,,
113_3_3.json,194,Dialog,Tamaki,「だ、だが！　俺に会いたくなって帰ってきて,But! You'll come back because,,,
113_3_3.json,195,Dialog,Tamaki,くれるはず！！」,you want to see me!!,,,
113_3_3.json,200,Dialog,Kyoya,「……言っておくが、昨日招待されたお客様は、,"...Just so you know, the customers
who were invited",,,
113_3_3.json,201,Dialog,Kyoya,今日も絢爛学園に行っているぞ」,"yesterday are still at the school
today.",,,
113_3_3.json,206,Dialog,Kyoya,#Scale[1.4]ガーーーーーーーーン！,#Scale[1.4]GAAAAAAAAAAAH!,,,
113_3_3.json,215,Dialog,Tamaki,「……な、なんということ……、なのだ」,...W-What is this...?,,,
113_3_3.json,217,Dialog,Tamaki,よろめきながら、環先輩は部屋の隅に行ってし,"Staggering, Senpai went to",,,
113_3_3.json,218,Dialog,Tamaki,まった。,the corner of the room.,,,
113_3_3.json,227,Dialog,Kyoya,「しかし、このままだと部の存続が危ういな」,"But if this continues, the club's
future will be in danger.",,,
113_3_3.json,229,Dialog,Haruhi,「まさか、それはないでしょう？」,"Come on, that's not going to happen,
right?",,,
113_3_3.json,230,Dialog,Haruhi,だいたい、鏡夜先輩が黙ってるとは思えない。,"Anyway, I don't think Kyoya-senpai
would stay quiet.",,,
113_3_3.json,238,Dialog,Kyoya,「さあ、どうだろうな。……それにしても、こ,"Well then, what do you think?
...Still,",,,
113_3_3.json,239,Dialog,Kyoya,の売り上げの低下はどこでどう補えばいいもの,where and how should we,,,
113_3_3.json,240,Dialog,Kyoya,だろうな」,make up for this drop in sales?,,,
113_3_3.json,242,Dialog,Haruhi,「……自分は関係ありませんよ」,I'm not involved.,,,
113_3_3.json,247,Dialog,Kyoya,「そうか？　少なくとも部員である以上、この,"At least as a club member, I think",,,
113_3_3.json,248,Dialog,Kyoya,状況を改善することに対して、手をつくす義務,we have an obligation to,,,
113_3_3.json,249,Dialog,Kyoya,はあると思うが」,try and improve the situation.,,,
113_3_3.json,250,Dialog,Kyoya,……それは、確かに。,...That's true.,,,
113_3_3.json,259,Dialog,Kyoya,「では、次の手が来る前に、こちらの態勢を立,Then let's get our act together,,,
113_3_3.json,260,Dialog,Kyoya,て直してもらおうか」,before the next move.,,,
