file,id,type,speaker,jp,current_english,suggested_english,notes,status
tamaki.json,1,Chapter name,,お父さんと一緒,with dad,,,
tamaki.json,4,Dialog,Haruhi,「平和だなぁ……」,It's peaceful...,,,
tamaki.json,5,Dialog,Haruhi,スーパーの朝市で広告の品もゲットしたし、休日だからホスト部の個性豊かなメンバーに頭を悩ませることもないし。,"Got sale items at the supermarket,
and since it's a day off, no Host
Club members to deal with.",,,
tamaki.json,12,Dialog,Ranka,「ハルヒー。ワタシあっついお茶が飲みたいな〜」,"Haruhi. I want to drink some hot
tea~",,,
tamaki.json,14,Dialog,Haruhi,「あ、はーい。今入れ……」,"「Ah, okay. Let me in...」",,,
tamaki.json,18,Dialog,Haruhi,「あれ？　お客様かな？」,Hmm? Could it be a customer?,,,
tamaki.json,20,Dialog,Haruhi,お茶を入れる為に立ち上がったついでに、ドアへと向かう。,"I stood up to make tea and headed
for the door.",,,
tamaki.json,22,Dialog,Haruhi,「どちら様で……」,Who might you be...,,,
tamaki.json,24,Dialog,Hikaru,「ハルヒーいるー？」,"Haruhi, you here?",,,
tamaki.json,26,Dialog,Kaoru,「いるんだったら早く出た方がいいよー」,Better come out if you're here--,,,
tamaki.json,28,Dialog,Hikaru & Kaoru,「でないと学校でのあることないこと」,"Or else I'll make up something about
you at school.",,,
tamaki.json,29,Dialog,Hikaru & Kaoru,ガチャ,Spin!,,,
tamaki.json,42,Dialog,Haruhi,「あることないことって何ですか！　脅すようなことを言わなくてもちゃんと開けます！」,"What do you mean by that! I'll open
it even if you don't have to
threaten me!",,,
tamaki.json,45,Dialog,Haruhi,折角の休日なのに、この人たちはまた遊びにきたのか……。,"It's their day off yet they came to
play again...",,,
tamaki.json,46,Dialog,Haruhi,悪気はないんだろうけど、価値観が違いすぎるせいか自分の暮らしに対してとても失礼な発言が多い。,"They mean no harm, but our values
differ so much that they're often
pretty rude about how I live.",,,
tamaki.json,47,Dialog,Haruhi,だからあまり家にも呼びたくないんだけど……。,"So I don't really want to call you
over to my place...",,,
tamaki.json,54,Dialog,Mori,「……お邪魔する」,...Excuse me.,,,
tamaki.json,63,Dialog,Honey,「ハルちゃん、こんにちは」,Hi Haru-chan!,,,
