file,id,type,speaker,jp,current_english,suggested_english,notes,status
mitukuni.json,1,Chapter name,,ハニー先輩の悩み,Honey-Senpai's Worries,,,
mitukuni.json,3,Dialog,,放課後、いつものようにホスト部で接客をする。,"I'll serve customers at the Host
Club as usual after school.",,,
mitukuni.json,4,Dialog,,いつもと変わらない、そう思っていたのだけれど……。,"I thought it would be just like
always...",,,
mitukuni.json,11,Dialog,Tamaki,「姫の眩い微笑み……。その微笑の前では夜の帳（とばり）も恥らって顔を出さぬというものです……」,"My princess's dazzling smile... Even
the night curtain blushes and hides
its face before such a smile...",,,
mitukuni.json,19,Dialog,Kyoya,「ああ、ハルヒ。庶民コーヒーの予備が切れたので補充を頼む」,"Yeah, Haruhi. I need you to restock
the plain coffee; we're out.",,,
mitukuni.json,32,Dialog,Hikaru,「馨ったら昨日、課題のノートを忘れてさ」,"Kaoru forgot his homework notebook
yesterday.",,,
mitukuni.json,37,Dialog,Kaoru,「あー！　それは言わない約束だろう、光！」,"Hey! We promised not to say that,
Hikaru!",,,
mitukuni.json,39,Dialog,Hikaru,「ごめん、ごめん。慌てた顔の馨が可愛かったからつい……」,"Sorry, sorry. I couldn't help myself
because Kaoru looked so cute when he
was flustered.",,,
mitukuni.json,41,Dialog,Kaoru,「光……！」,「Hikaru...!」,,,
mitukuni.json,54,Dialog,Haruhi,「？　ハニー先輩、先ほどからフォークをかじっていますけどもしかしておかわりが欲しいんですか？」,"Honey-senpai, you've been chewing on
your fork. Do you want more?",,,
mitukuni.json,56,Dialog,Honey,「ん、ハルちゃん。んーとね、えっとね。おかわり……うん、欲しいかな」,"Hmm, Haru-chan. Well, um... do you
want seconds?",,,
mitukuni.json,64,Dialog,Mori,「ん……」,Hmm...,,,
mitukuni.json,65,Dialog,Mori,こ、この２人は流石というかなんというか……。,"T,These two are truly remarkable...",,,
mitukuni.json,66,Dialog,Mori,いつの間におかわりを用意していたとか、聞いてもしかたないんだろうなぁ……。,"I guess it's no use asking when you
prepared seconds...",,,
mitukuni.json,73,Dialog,Mori,「光邦。気になることがあるのなら口に出すべきだ」,"Haruhi. If something's on your mind,
you should say it.",,,
mitukuni.json,75,Dialog,Haruhi,「ハニー先輩、何か気になることでもあるんですか？」,"Senior Honey, is there something on
your mind?",,,
mitukuni.json,84,Dialog,Tamaki,「ぬうっ、ハニー先輩の悩みは我らが悩み！そうだろう、諸君」,"Aww, Honey-senpai's worries are our
worries! Right, everyone?",,,
mitukuni.json,91,Dialog,Hikaru,「あー、また殿の病気がはじまったよ」,"Oh, His Lordship's illness has
started again.",,,
mitukuni.json,98,Dialog,Kaoru,「悩み相談とか大好きだもんね〜殿は」,I love giving advice~ My princess.,,,
mitukuni.json,108,Dialog,Honey,「ハルちゃん、タマちゃん、心配してくれてありがとう。だけどね、これは僕自身の問題だからみんなに迷惑かけたくないんだ」,"Haru-chan, Tama-chan,
thanks, but this is
my problem.",,,
mitukuni.json,116,Dialog,Mori,「光邦……」,Honey...,,,
mitukuni.json,121,Dialog,Honey,「崇も心配しなくて大丈夫だよ。僕１人で解決できちゃう問題だもん。えへへ〜」,"Don't worry, Takashi. I can handle
this all by myself. Hehehe~",,,
mitukuni.json,135,Dialog,Hikaru,（１人で解決できちゃう問題だったらあからさまに溜息なんてつかないよね）,"(I wouldn't sigh so obviously if I
could solve it on my own.)",,,
