file,id,type,speaker,jp,current_english,suggested_english,notes,status
kyouya.json,1,Chapter name,,鏡夜と猫澤先輩の　熱き戦い,Kyouya vs. Nekozawa-senpai,,,
kyouya.json,9,Dialog,Tamaki,「おしまいだ、俺はおしまいなのだー！！」,I'm done for--!!,,,
kyouya.json,10,Dialog,Tamaki,いつものように部室を訪れると、頭を抱えてのた打ち回っている環先輩がいた。,"When I visited the clubroom as
usual, there was Senpai thrashing
around with her head in her hands.",,,
kyouya.json,11,Dialog,Tamaki,ある意味おかしくない光景ではあるけれど……。,It's a strange sight in a way...,,,
kyouya.json,13,Dialog,Tamaki,「俺が誤ってベルゼネフの端っこを踏んでしまった事態以上に愚かしいことをしてしまったのか、俺はー！！」,"Did I do something even dumber than
stepping on the edge of Belzeneff?!?",,,
kyouya.json,16,Dialog,Haruhi,「……あまり聞きたくはないんですが、環先輩どうしたんですか？」,"I don't really want to know, but
what's wrong, Tamaki-senpai?",,,
kyouya.json,18,Dialog,Haruhi,「いつも以上にエキセントリックな気がするんですけど……」,"I feel like you're even more
eccentric than usual...",,,
kyouya.json,19,Dialog,Haruhi,うああああなんて奇怪な声を上げている環先輩を全くスルーして、帳簿整理に励んでいる鏡夜先輩に話しかける。,"Ignoring Tamaki-senpai's strange
screaming, I talk to Kyoya-senpai
who is busy organizing the accounts.",,,
kyouya.json,20,Dialog,Haruhi,この状況でよく集中出来ますね……と感心を通り越して呆れを感じてしまう。,"I'm impressed... No, I'm more amazed
you can concentrate in this
situation.",,,
kyouya.json,27,Dialog,Kyoya,「ん？　ああ、あれはいつもの病気だ」,"Hmm? Oh, that's just my usual
illness.",,,
kyouya.json,35,Dialog,Tamaki,「鏡夜ー！　いつもの病気とはなんだ！　俺はいつでも華麗に接客をしているホスト部のキングなのだぞー！」,"Kyoya!! What kind of illness is
this?! I'm the king of the Host
Club, always charming our guests!",,,
kyouya.json,37,Dialog,Haruhi,「ああ、いつもと同じく頭がおかしいと。でもおかしさが行き過ぎだと思うんですよね」,"Yeah, as usual, you're crazy. But I
think your craziness has gone too
far.",,,
kyouya.json,41,Dialog,Tamaki,「ハルヒー！　いつもと同じく頭がおかしいって俺がバカみたいではないか！」,"Haruhi! Don't you sound like an
idiot saying I'm the one who's
stupid!",,,
kyouya.json,43,Dialog,Haruhi,（寸分違わずそうなんですけど……）,(It's exactly as you say...),,,
kyouya.json,46,Dialog,Tamaki,「！！？　今なにやらよくないことを言われたような……はっ、これももしや呪い！？」,"!!? Did I just get cursed... Ha!
Could this be a curse!?",,,
kyouya.json,47,Dialog,Tamaki,またうああああと頭を抱えてのた打ち回る環先輩。,"Tama-chan buries his face in his
hands and thrashes around again.",,,
kyouya.json,50,Dialog,Haruhi,「……やっぱり何かあったんですよね。ベルゼネフとか言ってましたし、猫澤先輩絡みですか？」,"...I guess something did happen. She
mentioned Berzenef and it's related
to Nekozawa-senpai, right?",,,
kyouya.json,51,Dialog,Haruhi,メガネのブリッジをあげて、しかたがなさそうに肩を竦める。,"Pushes up his glasses and shrugs
helplessly.",,,
kyouya.json,58,Dialog,Kyoya,「ご名答。猫澤先輩との出会い頭によくない予言とやらを言われたらしくてな、それからずーっとあんな感じだ」,"Exactly. Nekozawa-senpai gave
him a bad prophecy, and he's
been like this since.",,,
kyouya.json,60,Dialog,Haruhi,「うわあ……ずっとですか」,Wow... forever?,,,
kyouya.json,65,Dialog,Kyoya,「ああ。不本意ながらその予言とやらを聞いたが、あまりに常識の枠を超えていたのでな。馬鹿馬鹿しいと一笑しておいたよ」,"I heard that prophecy too, but
it was so absurd that I laughed
it off.",,,
kyouya.json,73,Dialog,Tamaki,「鏡夜は猫澤先輩の恐ろしさがわかっていないのだ！　そうだ！　ハルヒならばわかってくれるよな！！」,"Kyoya doesn't understand
Nekozawa-senpai's terrifying charm!
But Haruhi will, right?!!",,,
kyouya.json,75,Dialog,Haruhi,「あまりわかりたくないです」,I don't really want to know.,,,
kyouya.json,77,Dialog,Haruhi,「……ですが内容次第で考えます」,"But I'll think about it depending on
the content.",,,
kyouya.json,82,Dialog,Tamaki,「おおお！　さすがわが娘！！　実はだな、猫澤先輩がかつてないほど絶好調らしいのだ！」,"Ohoho! As expected of my princess!!
Actually, it seems that
Nekoze-senpai is in top form!",,,
kyouya.json,84,Dialog,Haruhi,「はあ……」,Uh-huh...,,,
kyouya.json,92,Dialog,Nekozawa,「そ、そこから先は私がご説明いたしましょう〜」,Let me explain from there~,,,
kyouya.json,94,Dialog,Haruhi,「！！？　い、いつの間に隣にいたんですか」,!!? W-When did you get next to me?,,,
